Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-1117F-0226-SM-5GZZ7	0.04133622754756	0	0	0.0125533478192799	0	0.123791309689775	0	0.064229466101313	0	0	0.0445221216593037	0.00571398391464434	0.0365246608361464	0	0.0391376831672576	0.245621554717823	0	0	0.3865696445469	0	0	0	0.01	0.296831413559042	0.968143998517769	2.6885
GTEX-111CU-1826-SM-5GZYN	0.0127175478430892	0	0	0.0174208584742862	0	0.0928540026244987	0	0	0	0	0.0123933676159318	0.00178600889515787	0.143622763476821	0	0.0290618079626924	0.474083180590205	0	0	0.216060462517319	0	0	0	0.012	0.273653198189238	0.980454442574508	2.585
GTEX-111FC-0226-SM-5N9B8	0.00281364490477157	0	0.000481694200453342	0.0476888016037289	0	0.118329495210552	0	0.016917505126878	0.0208530776811345	0	0.0142672082186574	0.00488658961444611	0.00112159056848608	0	0.0267369080303377	0.332793555431583	0.0063827299432869	0	0.406727199465685	0	0	0	0.014	0.248876184542328	0.997154875134398	2.663
GTEX-111VG-2326-SM-5N9BK	0.00403862184595179	0	0	0.0222647234755436	0	0.0649896532154707	0	0.00691279437107445	0.000150425686357971	0	0.0116210265333637	0.00606986215409188	0.0362864417186931	0.531553382750545	0.0387938706776563	0.199353535551646	0	0	0.0779656620196068	0	0	0	0	0.508677614525219	0.867375736161672	4.7455
GTEX-111YS-2426-SM-5GZZQ	0.0241246311610026	0	0.00184060440198842	0.042392712347795	0	0.172049811218954	0	0.0165217670232693	0	0	0.0380564500362147	0.00792041352956567	0.0927338516051576	0.0342859784799896	0.0320958658227204	0.380114889216127	0	0	0.15077062063346	0	0	0.00709240452375565	0.0590000000000001	0.140568594585857	1.0262471587078	1.9255
GTEX-1122O-2026-SM-5NQ91	0.0216056972254059	0	0	0.058413304592901	0	0.179220343096686	0	0.00404676508268613	0	0	0.0904922981655865	0.000350483278948293	0.0738246215356987	0	0.030025841598654	0.400316758754279	0	0	0.141703886669154	0	0	0	0.138	0.087458909490041	1.04821495256491	1.5865
GTEX-1128S-2126-SM-5H12U	0.00457932417696843	0	0.00137894111520474	0.029658290266667	0	0.189425131719525	0	0.00399145452533233	0	0	0.0230360170824951	0.0418731571223519	0.12930565771522	0	0.0122436836434519	0.510840842326594	0	0	0.0377226342898082	0.0134694467611079	0	0.00247541925527278	0.167	0.0772016807077195	1.06900705968117	2.255
GTEX-113IC-0226-SM-5HL5C	0.00814892721472575	0	0.00804420325745238	0.0643217001839306	0	0.0930372474652763	0	0.0353661419369846	0.00641261809219036	0.00235655605185593	0	0.0383970449738707	0.0896602574302892	0	0.105660687900521	0.365354480203578	0.0138566987199565	0	0.16938343656937	0	0	0	0.013	0.269357591209489	0.974420608214886	4.036
GTEX-117YX-2226-SM-5EGJJ	0.0591176910563457	0	0	0.0738879043232542	0	0.204887653672277	0	0	0	0	0.0287632593340713	0.0298411156169822	0.0366524697068565	0	0.0270125970155579	0.39017975785435	0	0	0.128996981020181	0	0	0.020660570400125	0.112	0.0999576096714017	1.04188847704091	1.4735
GTEX-11DXW-0326-SM-5H11W	0.0166803170627067	0	0	0.0739731346737641	0	0.128426257482634	0	0.0280566937279209	0.0630984143132846	0	0.0191456094208838	0.047743882635747	0.11615562831176	0.000843228402360556	0.0510034569276696	0.144219182070835	0.00479736474993884	0	0.305856830220496	0	0	0	0.028	0.194875445166631	1.00732431784643	2.052
