Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-1117F-0226-SM-5GZZ7	0.111132447761615	0	0	0.0337496756121339	0	0.332812936100959	0	0.17268091961338	0	0	0.119697724081038	0.0153620457545213	0.0981965506579795	0	0.105221661195172	0.660353549858867	0	0	1.03929248936434	0	0	0	0.01	0.296831413559042	0.968143998517769	2.6885
GTEX-111CU-1826-SM-5GZYN	0.0328748611743857	0	0	0.0450329191560299	0	0.240027596784329	0	0	0	0	0.0320368552871836	0.0046168329939831	0.371264843587583	0	0.0751247735835599	1.22550502182568	0	0	0.558516295607269	0	0	0	0.012	0.273653198189238	0.980454442574508	2.585
GTEX-111FC-0226-SM-5N9B8	0.00749273638140669	0	0.00128275165580725	0.12699527867073	0	0.315111445745699	0	0.0450513161528761	0.0555317458648613	0	0.0379935754862847	0.01301298814327	0.00298679568387843	0	0.0712003860847894	0.886229238114306	0.016997209838973	0	1.08311453217712	0	0	0	0.014	0.248876184542328	0.997154875134398	2.663
GTEX-111VG-2326-SM-5N9BK	0.0191652799699642	0	0	0.105657245253192	0	0.308408399334016	0	0.0328046656879338	0.000713845094611749	0	0.0551475814140772	0.028804530852243	0.172197309176058	2.52248657784271	0.184096313300818	0.946032202960337	0	0	0.369986049114044	0	0	0	0	0.508677614525219	0.867375736161672	4.7455
GTEX-111YS-2426-SM-5GZZQ	0.0464519773005105	0	0.0035440837760287	0.0816271676256792	0	0.331281911502095	0	0.0318126624033051	0	0	0.0732776945447314	0.0152507562511787	0.178559031265731	0.0660176515632199	0.0618005896416482	0.731911219185652	0	0	0.290308830029728	0	0	0.0136564249104915	0.0590000000000001	0.140568594585857	1.0262471587078	1.9255
GTEX-1122O-2026-SM-5NQ91	0.0342774386481065	0	0	0.0926727077366375	0	0.284333074322893	0	0.00642019280368154	0	0	0.143566031039703	0.000556041722051466	0.117122762066386	0	0.0476359976962646	0.635102537763663	0	0	0.224813216200613	0	0	0	0.138	0.087458909490041	1.04821495256491	1.5865
GTEX-1128S-2126-SM-5H12U	0.0103263760190638	0	0.00310951221478668	0.0668794445513341	0	0.427153672027528	0	0.00900072995462441	0	0	0.0519462185210264	0.0944239693109035	0.291584258147822	0	0.0276095066159841	1.15194609944647	0	0	0.0850645403235176	0.0303736024462983	0	0.00558207042064012	0.167	0.0772016807077195	1.06900705968117	2.255
GTEX-113IC-0226-SM-5HL5C	0.0328890702386331	0	0.0324664043470778	0.259602381942344	0	0.375498330769855	0	0.14273774885767	0.0258813266200803	0.00951106022529052	0	0.154970473514542	0.361868798988647	0	0.426446536366501	1.47457068210164	0.0559256360337443	0	0.683631549993978	0	0	0	0.013	0.269357591209489	0.974420608214886	4.036
GTEX-117YX-2226-SM-5EGJJ	0.0871099177715254	0	0	0.108873827020315	0	0.3019019576861	0	0	0	0	0.0423826626287541	0.0439708838616233	0.0540074141130531	0	0.0398030617024246	0.574929873198384	0	0	0.190077051533237	0	0	0.0304433504845842	0.112	0.0999576096714017	1.04188847704091	1.4735
GTEX-11DXW-0326-SM-5H11W	0.0342280106126741	0	0	0.151792872350564	0	0.263530680354364	0	0.0575723355296937	0.12947794617086	0	0.0392867905316535	0.0979704471685528	0.238351349295731	0.00173030468164386	0.104659093615578	0.295937761609354	0.00984419246687449	0	0.627618215612457	0	0	0	0.028	0.194875445166631	1.00732431784643	2.052
GTEX-11DXX-2326-SM-5Q5A2	0.00130367286460892	0	0.00437289767501404	0.00874910009954016	0	0.239751421648015	0	0.0016446472897	0.0126370422010782	0	0.105309300923644	0.00197314582420193	0.295935235423523	0	0.0145790353081734	0.677334178029563	0	0	0.282820025591491	0	0	0.0130902971214461	0.038	0.175547406170093	1.01795417765305	1.6595
GTEX-11DZ1-0226-SM-5A5KF	0	0	0	0.267328788662745	0	0.183109416931811	0	0	0	0	0.0936094629333019	0.0603796144954468	0.416035345090904	0	0.0477359551157716	0.945811843759544	0	0	0.736600377041503	0	0	0.0178891959689716	0.038	0.175483367328903	1.01832777865252	2.7685
