SMTSD	MacrophageSum.CIB_Abs
Adipose - Subcutaneous	0.765575211054039
Muscle - Skeletal	0.106036099496715
Artery - Tibial	0.468278184350485
Artery - Coronary	1.16831187415167
Heart - Atrial Appendage	0.288497728568296
Adipose - Visceral (Omentum)	0.563441540534863
Ovary	0.50982167629869
Uterus	0.493868381440323
Vagina	0.195929772282389
Breast - Mammary Tissue	0.251080343392262
Skin - Not Sun Exposed (Suprapubic)	0.419592343088544
Minor Salivary Gland	0.800284891114536
Brain - Cortex	0.0511144906883093
Adrenal Gland	0.43850258890963
Thyroid	0.662583241063216
Lung	1.07139587805407
Spleen	1.00421139565213
Pancreas	0.0751096129237874
Esophagus - Muscularis	0.228503097902693
Esophagus - Mucosa	0.40122670936448
Esophagus - Gastroesophageal Junction	0.367447943375258
Stomach	0.096720100187518
Adipose - Visceral (Omentum)	0.272459016505504
Skin - Not Sun Exposed (Suprapubic)	0.101598974825081
Colon - Sigmoid	0.444842476262276
Small Intestine - Terminal Ileum	0.564265228377562
Colon - Transverse	0.344374300104741
Prostate	0.313325964369253
Testis	0.0270143586373421
Adipose - Subcutaneous	1.30062979540924
Muscle - Skeletal	0.0334334580671841
Nerve - Tibial	0.81648294061214
Skin - Sun Exposed (Lower leg)	0.0871025471068468
Adipose - Subcutaneous	0.957429624199095
Muscle - Skeletal	0.0489609157038229
Artery - Tibial	0.334192037638767
Nerve - Tibial	0.8705854578167
Heart - Atrial Appendage	0.187230614298889
Heart - Left Ventricle	0.137955625438214
Thyroid	0.0727556483950898
Lung	1.13553361249091
Spleen	0.381209208348517
Testis	0.167150365148216
Prostate	0.203682699165196
Skin - Not Sun Exposed (Suprapubic)	0.0787964767580646
Minor Salivary Gland	0.427421416141023
Brain - Cortex	0.16577136975265
Brain - Cerebellum	0.173083365881662
Heart - Atrial Appendage	0.277563406208265
Thyroid	0.695568312573333
Lung	0.932460907481269
Skin - Not Sun Exposed (Suprapubic)	0.0814225430210491
Testis	0.0513578699793721
Colon - Transverse	0.643919864106234
Adipose - Subcutaneous	3.65261509410387
Skin - Sun Exposed (Lower leg)	0.507210917037439
Nerve - Tibial	0.720084902778852
Muscle - Skeletal	0.0691375855790051
Whole Blood	0.0629226028520021
Adrenal Gland	0.254876905592266
Heart - Atrial Appendage	0.184799652442638
Heart - Left Ventricle	0.0464622541280889
Artery - Aorta	0.399174326535708
Lung	0.561406789987076
Thyroid	0.685629094220825
Esophagus - Gastroesophageal Junction	0.348010793836164
Esophagus - Mucosa	0.281980004878345
