tis	pheno	beta_age_cib.rel	p_age_cib.rel	beta_sex_cib.rel	p_sex_cib.rel	beta_age_cib.abs	p_age_cib.abs	beta_sex_cib.abs	p_sex_cib.abs	beta_age_xcell	p_age_xcell	beta_sex_xcell	p_sex_xcell	p_age_brown	p_sex_brown	age.coef_direc	sex.coef_direc	p_age_brown.fdr	p_sex_brown.fdr	phenotype	xcell.fdr	cib.abs.fdr	cib.rel.fdr	brown.fdr
Adipose - Subcutaneous	CD4_memory	0.000376630872591283	0.883862577628702	-0.0161698790383322	0.00746893466192436	0.0130379932542047	0.0327983993854813	-0.0184422539712805	0.195161681870969	0.00116594640801971	0.0163639556887995	0.000476270193142978	0.673451192097868	0.0431414865869168	0.0624781733937839	+	-	0.190809882006645	0.215957164556775	Adipose - Subcutaneous-CD4_memory	0	0	1	0
Adipose - Subcutaneous	MacrophageSum	0.00451624292009571	0.377561267442312	0.041231813613171	0.000606391287547515	0.0449791163218456	0.0295827225040741	0.147426384256158	0.00231585795323704	0.000846408487310944	0.776243675300363	0.0212913737570041	0.0023185120954853	0.19505941291559	0.000343857871441098	+	+	0.368662290410465	0.00364489343727563	Adipose - Subcutaneous-MacrophageSum	1	1	1	1
Adipose - Subcutaneous	MastSum	-0.00352417908741353	0.383821883498578	-0.023367276603641	0.0136720149751924	0.0102549397527117	0.329879035655058	-0.0420486841911965	0.0873874515278844	-5.30150580189672e-05	0.86324869147128	-0.000268455495356101	0.708726069699048	0.525552348063448	0.0714600557488446	+	-	0.661361707664382	0.236711434668048	Adipose - Subcutaneous-MastSum	0	0	1	0
Adipose - Subcutaneous	Myeloid_Sum	-0.0048001439335673	0.199108906267869	0.0135886781378188	0.11961912764456	0.0513544946184157	0.0434443353112811	0.110485572292844	0.0626536032760616	0.00823195864799112	0.481619038718122	0.0101676794156634	0.709610175721327	0.140176093758667	0.15562822306357	+	+	0.331166021504852	0.369326678613547	Adipose - Subcutaneous-Myeloid_Sum	0	0	0	0
Adipose - Subcutaneous	Monocytes	-0.00480372720264535	0.0441381133972884	-0.00299109371093718	0.590573913042426	-0.0026201982558481	0.709367557233888	0.00545811604357233	0.73946588988476	-9.34653373351355e-05	0.944016209878874	0.00597142797571673	0.0551554470630628	0.319304040396115	0.292210785233865	-	+	0.502903863623881	0.559446866169225	Adipose - Subcutaneous-Monocytes	0	0	0	0
Adipose - Subcutaneous	Lymph_Sum	0.00480014393356729	0.199108906267869	-0.0135886781378189	0.119619127644557	0.0362084395943255	0.00118716624372741	0.00661016242976649	0.798679403287024	0.00311743594614293	0.0838247839096809	-0.000912362324014683	0.828124761021149	0.00590693158365692	0.496573126250109	+	+	0.0535917679672443	0.731255977880362	Adipose - Subcutaneous-Lymph_Sum	0	1	0	1
Adipose - Visceral (Omentum)	T cells CD8	0.0071774694497825	0.00376300135124941	0.00318692754759639	0.601686197282657	0.0280829083110944	0.0128842077552939	-0.0108182190039358	0.697925230665507	0.00499981526788088	0.0423062440002111	-0.000638671085342658	0.916429896580757	0.0028322698560123	0.838008520011598	+	-	0.0297388334881291	0.907302832753173	Adipose - Visceral (Omentum)-T cells CD8	0	0	1	1
Adipose - Visceral (Omentum)	CD4_memory	0.0025312585854997	0.404493663304607	0.00146649489339857	0.845472275536871	0.0230227260173198	0.0942819825866212	-0.0184034392226804	0.588869801788973	0.000364038731451895	0.700139630776904	0.000464215558577304	0.842959549010194	0.305500688506172	0.871112598188898	+	-	0.497755432135056	0.917264259020098	Adipose - Visceral (Omentum)-CD4_memory	0	0	0	0
Adipose - Visceral (Omentum)	MacrophageSum	0.00617354172434649	0.333020897191376	-0.00406394702957202	0.797023591987046	0.0335412829255101	0.180232029183358	-0.0452120263606704	0.465846546669093	0.0031696157364661	0.148716607679298	0.00321772705995736	0.553808368781459	0.192914314860135	0.666215530276022	+	-	0.368662290410465	0.80476966040519	Adipose - Visceral (Omentum)-MacrophageSum	0	0	0	0
Adipose - Visceral (Omentum)	Bcellsum	0.00566195750829651	0.0337013413018914	0.0126536153701149	0.0554300825041919	0.0281407952117557	0.0565740791650693	0.00300277355189129	0.934427311823111	0.0137872707817857	0.0517594553927474	-0.00752815836106583	0.667547600107175	0.0205131745244525	0.341845160632057	+	+	0.133689309831777	0.600771441165985	Adipose - Visceral (Omentum)-Bcellsum	0	0	0	0
Adipose - Visceral (Omentum)	MastSum	-0.0126489628773395	0.00396681137515897	-0.00141687689877393	0.895819824695928	-0.0179228180578163	0.143846451495117	-0.0170290094570344	0.574872282652065	0.000259312923267962	0.485365851577762	-0.000597696952138597	0.516541646536684	0.0362929232616947	0.744838956418666	-	-	0.18577970455175	0.864448131901955	Adipose - Visceral (Omentum)-MastSum	0	0	1	0
Adipose - Visceral (Omentum)	Myeloid_Sum	-0.0159444639251295	0.0128105453354565	-0.0151835007827285	0.33720743440666	0.00203100998393727	0.946247726192134	-0.118105137123808	0.114446737643714	-0.00508707493775729	0.768451360198237	-0.136753337925265	0.00152811167949504	0.198008159395595	0.021734454958451	+	-	0.370530120057103	0.1047205557089	Adipose - Visceral (Omentum)-Myeloid_Sum	1	0	0	0
Adipose - Visceral (Omentum)	Monocytes	-0.00308565684888739	0.505942124427568	-0.0166330954665173	0.148586972523084	0.00435673110436837	0.727204376769788	-0.0629279448422105	0.0427104946083845	-0.00517156492179879	0.155984613370478	-0.011232084432526	0.213767072002674	0.413905432493179	0.0858532591113987	+	-	0.557896701146198	0.262217471683477	Adipose - Visceral (Omentum)-Monocytes	0	0	0	0
Adipose - Visceral (Omentum)	Lymph_Sum	0.0159444639251295	0.0128105453354562	0.0151835007827281	0.337207434406672	0.0895260929743071	0.0274637791361238	-0.0500672869648082	0.617759085960302	0.0132966790002172	0.233099680464214	0.00115576367861919	0.966618890307684	0.0138409476025279	0.709946277330742	+	-	0.113736482472947	0.830010721291088	Adipose - Visceral (Omentum)-Lymph_Sum	0	0	0	0
Adrenal Gland	T cells CD8	0.00596634382403838	0.0455695000362292	0.0132295123894632	0.0674423591867462	0.0063862095414322	0.0605561666084362	0.0156587122392099	0.0579279441001521	0.000562754367630742	0.111046585775313	0.000124002057260641	0.884542787491073	0.0303874251054854	0.111191338168351	+	+	0.16891833367461	0.288581095760966	Adrenal Gland-T cells CD8	0	0	0	0
Adrenal Gland	MacrophageSum	0.00730644285800273	0.213971098219363	-0.00510522425625981	0.719925769468051	0.0149892835633556	0.126248009682069	-0.000192647701690578	0.993516981968331	0.00130399111160482	0.338441882813845	-0.000599765991530437	0.855839922202148	0.193408355097757	0.927655929250186	+	-	0.368662290410465	0.938396902719802	Adrenal Gland-MacrophageSum	0	0	0	0
Adrenal Gland	MastSum	-0.0118871719018831	0.000652334100090677	-0.0078074840574605	0.348953029587638	-0.00865687121890749	0.00991791939748404	-0.00875313301093338	0.278917254985358	0.00054760819097781	0.0215541569149755	-0.00149321372825761	0.00994662342259561	0.000463310441408956	0.0599125771334885	-	-	0.00729713945219106	0.21169110587166	Adrenal Gland-MastSum	1	1	1	1
Adrenal Gland	Myeloid_Sum	-0.00518582751434649	0.344056305900858	-0.0285098093878943	0.0329317349870891	0.00858230286316243	0.490659794727708	-0.0244548425801703	0.418394255782433	0.0103836060406941	0.126110813895435	-0.0108973885220109	0.507121881516969	0.277108918820494	0.16872974515083	+	-	0.476842866231133	0.383257563985457	Adrenal Gland-Myeloid_Sum	0	0	0	0
