tis	cell	Age_Sig	Sex_Sig
Adipose - Subcutaneous	CD4+ memory T cells	0	0
Adipose - Subcutaneous	Macrophages	0	2
Adipose - Subcutaneous	Mast cells	0	0
Adipose - Subcutaneous	Myeloid cells	0	0
Adipose - Subcutaneous	Monocytes	0	0
Adipose - Subcutaneous	Lymphocytes	1	0
Adipose - Visceral (Omentum)	CD8+ T cells	1	0
Adipose - Visceral (Omentum)	CD4+ memory T cells	0	0
Adipose - Visceral (Omentum)	Macrophages	0	0
Adipose - Visceral (Omentum)	B cells	0	0
Adipose - Visceral (Omentum)	Mast cells	0	0
Adipose - Visceral (Omentum)	Myeloid cells	0	0
Adipose - Visceral (Omentum)	Monocytes	0	0
Adipose - Visceral (Omentum)	Lymphocytes	0	0
Adrenal Gland	CD8+ T cells	0	0
Adrenal Gland	Macrophages	0	0
Adrenal Gland	Mast cells	2	0
Adrenal Gland	Myeloid cells	0	0
Adrenal Gland	Monocytes	0	0
Adrenal Gland	Lymphocytes	0	1
Artery - Aorta	CD8+ T cells	0	1
Artery - Aorta	CD4+ memory T cells	1	0
Artery - Aorta	Macrophages	0	0
Artery - Aorta	B cells	2	0
Artery - Aorta	Mast cells	0	0
Artery - Aorta	Myeloid cells	0	0
Artery - Aorta	Monocytes	0	0
Artery - Aorta	Lymphocytes	1	0
Artery - Coronary	CD8+ T cells	0	0
Artery - Coronary	CD4+ memory T cells	0	0
Artery - Coronary	Macrophages	0	0
Artery - Coronary	B cells	0	1
Artery - Coronary	Mast cells	0	0
Artery - Coronary	Myeloid cells	0	0
Artery - Coronary	Monocytes	0	0
Artery - Coronary	Lymphocytes	0	0
Artery - Tibial	CD4+ memory T cells	4	0
Artery - Tibial	Macrophages	2	0
Artery - Tibial	Mast cells	3	0
Artery - Tibial	Myeloid cells	3	0
Artery - Tibial	Monocytes	2	0
Artery - Tibial	Lymphocytes	3	1
Breast - Mammary Tissue	CD8+ T cells	0	4
Breast - Mammary Tissue	CD4+ memory T cells	0	4
Breast - Mammary Tissue	Macrophages	1	3
Breast - Mammary Tissue	B cells	0	4
Breast - Mammary Tissue	Mast cells	0	4
Breast - Mammary Tissue	Myeloid cells	1	4
Breast - Mammary Tissue	Monocytes	0	4
Breast - Mammary Tissue	Lymphocytes	0	4
Colon - Sigmoid	CD4+ memory T cells	0	0
Colon - Sigmoid	Macrophages	0	0
Colon - Sigmoid	Mast cells	0	0
