SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-111CU	26.23	0.0902305064899447	[17.4,31.5]	0.0902305064899447
GTEX-111FC	27.59	0.152605817641249	[17.4,31.5]	0.152605817641249
GTEX-111VG	37.52	0.333031771851883	(37.1,61.6]	0.333031771851883
GTEX-111YS	24.91	0.128174193284736	[17.4,31.5]	0.128174193284736
GTEX-1122O	29.53	0.106686060183999	[17.4,31.5]	0.106686060183999
GTEX-1128S	30.43	0.134593662219512	[17.4,31.5]	0.134593662219512
GTEX-113JC	21.42	0.0122518231082809	[17.4,31.5]	0.0122518231082809
GTEX-117XS	35.98	0.54685118172429	(31.5,37.1]	0.54685118172429
GTEX-117YW	39.21	0.166158982489279	(37.1,61.6]	0.166158982489279
GTEX-117YX	36.83	0.0377962396457054	(31.5,37.1]	0.0377962396457054
GTEX-1192W	40.85	0.308612364031306	(37.1,61.6]	0.308612364031306
GTEX-1192X	33.02	0.00277971853375679	(31.5,37.1]	0.00277971853375679
GTEX-11DXX	26.02	0.178248850073304	[17.4,31.5]	0.178248850073304
GTEX-11DXY	33.78	0.389561561559766	(31.5,37.1]	0.389561561559766
GTEX-11DXZ	40.95	0.153896806434789	(37.1,61.6]	0.153896806434789
GTEX-11DYG	34.75	0.126877646831488	(31.5,37.1]	0.126877646831488
GTEX-11DZ1	32.66	0.0596589645828429	(31.5,37.1]	0.0596589645828429
GTEX-11EI6	39.53	0.224838934258213	(37.1,61.6]	0.224838934258213
GTEX-11EM3	28.91	0.0376140231040452	[17.4,31.5]	0.0376140231040452
GTEX-11EMC	36.56	0.0889666731748644	(31.5,37.1]	0.0889666731748644
GTEX-11EQ8	39.29	0.456912091321179	(37.1,61.6]	0.456912091321179
GTEX-11EQ9	24.4	0.101768911094251	[17.4,31.5]	0.101768911094251
GTEX-11GS4	33.03	0.26540503578478	(31.5,37.1]	0.26540503578478
GTEX-11GSO	25.7	0.125580203989477	[17.4,31.5]	0.125580203989477
GTEX-11I78	25.3	0.0687683708406228	[17.4,31.5]	0.0687683708406228
GTEX-11LCK	32.79	0	(31.5,37.1]	0
GTEX-11NSD	38.49	0.0220314614740984	(37.1,61.6]	0.0220314614740984
GTEX-11NUK	36.57	0.22710074220431	(31.5,37.1]	0.22710074220431
GTEX-11NV4	61.57	1.13293278016846	(37.1,61.6]	1.13293278016846
GTEX-11O72	27.71	0.188262677165268	[17.4,31.5]	0.188262677165268
GTEX-11OF3	40.28	0.336691321568487	(37.1,61.6]	0.336691321568487
GTEX-11P7K	33.86	0.119768486678089	(31.5,37.1]	0.119768486678089
GTEX-11P81	44.6	0.0668530407940296	(37.1,61.6]	0.0668530407940296
GTEX-11P82	32.71	0.133978292443828	(31.5,37.1]	0.133978292443828
GTEX-11TT1	33.69	0.111497742049479	(31.5,37.1]	0.111497742049479
GTEX-11TTK	28.72	0.10828829528639	[17.4,31.5]	0.10828829528639
GTEX-11TUW	26.57	0.291332215235977	[17.4,31.5]	0.291332215235977
GTEX-11UD2	23.75	0.227195444917821	[17.4,31.5]	0.227195444917821
GTEX-11VI4	35.41	0.116409243685197	(31.5,37.1]	0.116409243685197
GTEX-11XUK	37.63	0.321736783661683	(37.1,61.6]	0.321736783661683
GTEX-11ZTS	29.36	0.332139684940114	[17.4,31.5]	0.332139684940114
GTEX-11ZTT	22.61	0.0621379354379635	[17.4,31.5]	0.0621379354379635
GTEX-11ZVC	43.06	0.392716325353806	(37.1,61.6]	0.392716325353806
GTEX-1211K	26.38	0.0444416394968598	[17.4,31.5]	0.0444416394968598
GTEX-1212Z	31.06	0.095866925722515	[17.4,31.5]	0.095866925722515
GTEX-12584	51.05	0.220313225935416	(37.1,61.6]	0.220313225935416
GTEX-12696	33.52	0.236434086599467	(31.5,37.1]	0.236434086599467
GTEX-1269C	26.03	0.282423385419857	[17.4,31.5]	0.282423385419857
GTEX-12BJ1	29.35	0.0397444823851195	[17.4,31.5]	0.0397444823851195
GTEX-12WSC	37.85	0.497726661101718	(37.1,61.6]	0.497726661101718
GTEX-12WSD	46.5	0.228130246765475	(37.1,61.6]	0.228130246765475
GTEX-12WSE	37.4	0.315806823096536	(37.1,61.6]	0.315806823096536
GTEX-12WSG	33	0.422631581116374	(31.5,37.1]	0.422631581116374
GTEX-12WSH	29.04	0.0652435975570654	[17.4,31.5]	0.0652435975570654
GTEX-12WSJ	33.8	0.125418240640811	(31.5,37.1]	0.125418240640811
GTEX-12WSK	32.42	0.0172723106755375	(31.5,37.1]	0.0172723106755375
GTEX-12WSL	36.19	0.0312113383028953	(31.5,37.1]	0.0312113383028953
GTEX-12WSN	31.85	0.185244933078694	(31.5,37.1]	0.185244933078694
GTEX-12ZZX	37.71	0.525526068744541	(37.1,61.6]	0.525526068744541
GTEX-12ZZY	41.57	0.382743817510153	(37.1,61.6]	0.382743817510153
GTEX-12ZZZ	36.7	0.355747114145244	(31.5,37.1]	0.355747114145244
GTEX-13111	40.35	0.21758223270613	(37.1,61.6]	0.21758223270613
GTEX-13112	37.31	0.268633700644615	(37.1,61.6]	0.268633700644615
GTEX-13113	44.64	0.159678158007054	(37.1,61.6]	0.159678158007054
GTEX-1313W	48.43	0.239862702912019	(37.1,61.6]	0.239862702912019
GTEX-131XE	32.08	0.218445184875636	(31.5,37.1]	0.218445184875636
GTEX-131XF	36.2	0.092329860576314	(31.5,37.1]	0.092329860576314
GTEX-131XG	27.49	0.0375579148621777	[17.4,31.5]	0.0375579148621777
GTEX-131XH	41.47	0.19197180730001	(37.1,61.6]	0.19197180730001
GTEX-131YS	37.2	0.518241517029968	(37.1,61.6]	0.518241517029968
GTEX-132AR	36.55	0.142432687924207	(31.5,37.1]	0.142432687924207
GTEX-132NY	36.61	0.422301575441149	(31.5,37.1]	0.422301575441149
GTEX-132QS	32.24	0.102676160881099	(31.5,37.1]	0.102676160881099
GTEX-133LE	33.03	0.228726283476376	(31.5,37.1]	0.228726283476376
GTEX-1399R	38.17	0.112918457640233	(37.1,61.6]	0.112918457640233
GTEX-1399T	34.01	0.311494254171011	(31.5,37.1]	0.311494254171011
GTEX-1399U	32.1	0.0992146146318604	(31.5,37.1]	0.0992146146318604
GTEX-139T6	27.93	0.139349758600176	[17.4,31.5]	0.139349758600176
GTEX-139TS	34.5	0.277052472827964	(31.5,37.1]	0.277052472827964
GTEX-139UW	24.18	0.183236062117676	[17.4,31.5]	0.183236062117676
GTEX-139YR	37.59	0.0183734163981646	(37.1,61.6]	0.0183734163981646
GTEX-13CF3	26.28	0.0399442992025273	[17.4,31.5]	0.0399442992025273
GTEX-13D11	27.41	0.151431160989552	[17.4,31.5]	0.151431160989552
GTEX-13FH7	32.27	0.314890198755871	(31.5,37.1]	0.314890198755871
GTEX-13FHO	38.73	0.291166158795405	(37.1,61.6]	0.291166158795405
GTEX-13FHP	40.35	0.511239957508787	(37.1,61.6]	0.511239957508787
GTEX-13FLV	35.89	0.146527864104134	(31.5,37.1]	0.146527864104134
GTEX-13FLW	42.15	0.426520072708554	(37.1,61.6]	0.426520072708554
GTEX-13FTW	33.91	0	(31.5,37.1]	0
GTEX-13FTY	35.3	0.379622902394113	(31.5,37.1]	0.379622902394113
GTEX-13FXS	40.49	1.10403723789434	(37.1,61.6]	1.10403723789434
GTEX-13G51	39.57	0.335787542605941	(37.1,61.6]	0.335787542605941
GTEX-13IVO	34.12	0	(31.5,37.1]	0
GTEX-13JVG	35.04	0.119554836335356	(31.5,37.1]	0.119554836335356
GTEX-13N11	41.21	0.106333771427185	(37.1,61.6]	0.106333771427185
GTEX-13N1W	25.58	0.161069655130085	[17.4,31.5]	0.161069655130085
GTEX-13N2G	33.27	0.243797283447243	(31.5,37.1]	0.243797283447243
GTEX-13NYB	51.31	0.422526170114733	(37.1,61.6]	0.422526170114733
GTEX-13NYC	28.36	0.0981013736621011	[17.4,31.5]	0.0981013736621011
GTEX-13NZ8	33.55	0.219367835555518	(31.5,37.1]	0.219367835555518
GTEX-13NZ9	44.82	0.447087839629224	(37.1,61.6]	0.447087839629224
GTEX-13NZA	28.35	0.152654337676345	[17.4,31.5]	0.152654337676345
GTEX-13O1R	21.51	0.250030233593458	[17.4,31.5]	0.250030233593458
GTEX-13O21	30.89	0.180314928005248	[17.4,31.5]	0.180314928005248
GTEX-13O3O	36.03	0.24630224546296	(31.5,37.1]	0.24630224546296
GTEX-13O3P	37.55	0.237767021076503	(37.1,61.6]	0.237767021076503
GTEX-13O3Q	45.43	0.10600567317858	(37.1,61.6]	0.10600567317858
GTEX-13O61	36.13	0.156814065582248	(31.5,37.1]	0.156814065582248
GTEX-13OVG	38.07	0.349442632653802	(37.1,61.6]	0.349442632653802
GTEX-13OVI	34.02	0.119351704261259	(31.5,37.1]	0.119351704261259
GTEX-13OVJ	25.58	0.0726543288104734	[17.4,31.5]	0.0726543288104734
GTEX-13OVK	42.25	0.224944687709266	(37.1,61.6]	0.224944687709266
GTEX-13OW5	26.41	0.101161841265347	[17.4,31.5]	0.101161841265347
GTEX-13OW6	34.33	0.295155359968496	(31.5,37.1]	0.295155359968496
GTEX-13OW7	42.38	0.270332538103358	(37.1,61.6]	0.270332538103358
GTEX-13OW8	27.96	0.261956775903404	[17.4,31.5]	0.261956775903404
GTEX-13PDP	31.27	0.00125904462363221	[17.4,31.5]	0.00125904462363221
GTEX-13PL6	38.4	0	(37.1,61.6]	0
GTEX-13PVQ	28.21	0.245167942300636	[17.4,31.5]	0.245167942300636
GTEX-13PVR	33.56	0.449047869822402	(31.5,37.1]	0.449047869822402
GTEX-13QBU	30.97	0.0455739642570617	[17.4,31.5]	0.0455739642570617
GTEX-13QJ3	40.44	0.235687869281568	(37.1,61.6]	0.235687869281568
GTEX-13QJC	36.08	0.577398389087946	(31.5,37.1]	0.577398389087946
GTEX-13RTJ	29.35	0.134625539801108	[17.4,31.5]	0.134625539801108
