SAMP2	C22orf43	pheno56.2	EXPR_BIN	PHENOTYPE
GTEX-111CU	0.8031	0.242434232543203	(0.795,1.33]	0.242434232543203
GTEX-111YS	1.075	0.250304629662411	(0.795,1.33]	0.250304629662411
GTEX-1122O	1.027	0.36808533745939	(0.795,1.33]	0.36808533745939
GTEX-117XS	1.239	0.512648412706151	(0.795,1.33]	0.512648412706151
GTEX-117YX	1.507	0.357593639873528	(1.33,5.74]	0.357593639873528
GTEX-11DXX	1.684	0.399603231065148	(1.33,5.74]	0.399603231065148
GTEX-11DXY	2.502	0.305789575112603	(1.33,5.74]	0.305789575112603
GTEX-11DXZ	2.589	0.213653598145672	(1.33,5.74]	0.213653598145672
GTEX-11EI6	1.422	0.527269870690253	(1.33,5.74]	0.527269870690253
GTEX-11EM3	0.9014	0.680471305256098	(0.795,1.33]	0.680471305256098
GTEX-11EMC	0.3804	0.43486221708851	[0,0.795]	0.43486221708851
GTEX-11EQ9	0.6011	0.330773820172757	[0,0.795]	0.330773820172757
GTEX-11GS4	1.391	0.294147226548429	(1.33,5.74]	0.294147226548429
GTEX-11I78	0.4555	0.519558411864905	[0,0.795]	0.519558411864905
GTEX-11ONC	0.2997	1.21607161219042	[0,0.795]	1.21607161219042
GTEX-11P7K	0.1682	0.191914780035186	[0,0.795]	0.191914780035186
GTEX-11P81	0.8072	0.183599793394941	(0.795,1.33]	0.183599793394941
GTEX-11PRG	2.76	1.27758361365849	(1.33,5.74]	1.27758361365849
GTEX-11TT1	0.9096	0.410379363764975	(0.795,1.33]	0.410379363764975
GTEX-11TUW	0.134	0.254084320142409	[0,0.795]	0.254084320142409
GTEX-11VI4	0.6947	1.6245197511666	[0,0.795]	1.6245197511666
GTEX-11WQK	0.3016	0.441049661569643	[0,0.795]	0.441049661569643
GTEX-11ZTS	1.096	0.298846964673479	(0.795,1.33]	0.298846964673479
GTEX-11ZTT	1.305	0.204314381778058	(0.795,1.33]	0.204314381778058
GTEX-11ZU8	0.09454	0.430542346567998	[0,0.795]	0.430542346567998
GTEX-1211K	1.017	0.623050281136134	(0.795,1.33]	0.623050281136134
GTEX-1212Z	2.571	0.534043743681743	(1.33,5.74]	0.534043743681743
GTEX-12696	1.592	0.315353259438105	(1.33,5.74]	0.315353259438105
GTEX-12BJ1	0.5287	0.165752733979665	[0,0.795]	0.165752733979665
GTEX-12KS4	2.606	0.609253346393238	(1.33,5.74]	0.609253346393238
GTEX-12WSD	2.546	0.41096222101625	(1.33,5.74]	0.41096222101625
GTEX-12WSG	2.407	0.506538535422937	(1.33,5.74]	0.506538535422937
GTEX-12WSJ	0.8062	0.488909351732473	(0.795,1.33]	0.488909351732473
GTEX-12WSL	0.9453	0.452509453739471	(0.795,1.33]	0.452509453739471
GTEX-12WSM	0.3324	0.150950438012674	[0,0.795]	0.150950438012674
GTEX-12ZZW	1.161	0.638200913022762	(0.795,1.33]	0.638200913022762
GTEX-12ZZX	1.835	0.368128771845618	(1.33,5.74]	0.368128771845618
GTEX-12ZZY	1.577	0.53494488650122	(1.33,5.74]	0.53494488650122
GTEX-13111	1.147	0.636102450414977	(0.795,1.33]	0.636102450414977
GTEX-13113	0.5149	0.843240618779711	[0,0.795]	0.843240618779711
GTEX-131XE	1.406	0.226340933631637	(1.33,5.74]	0.226340933631637
GTEX-131XG	0.5341	0.229547858708798	[0,0.795]	0.229547858708798
GTEX-131YS	1.911	0.284602908241817	(1.33,5.74]	0.284602908241817
GTEX-132AR	1.487	0.392117530471194	(1.33,5.74]	0.392117530471194
GTEX-132NY	2.232	0.377995079024564	(1.33,5.74]	0.377995079024564
GTEX-1339X	1.215	0.261541261241515	(0.795,1.33]	0.261541261241515
GTEX-1399R	0.6873	0.354577138296203	[0,0.795]	0.354577138296203
GTEX-1399U	0.2877	0.259633966969236	[0,0.795]	0.259633966969236
GTEX-139D8	4.481	0.644580832999028	(1.33,5.74]	0.644580832999028
GTEX-139T6	0.6701	0.231688356695649	[0,0.795]	0.231688356695649
GTEX-139TS	1.516	0.261213080239905	(1.33,5.74]	0.261213080239905
GTEX-139UW	0.729	0.192968077217781	[0,0.795]	0.192968077217781
GTEX-13CF2	0.9797	0.322388891291742	(0.795,1.33]	0.322388891291742
GTEX-13CF3	1.069	0.34854359458982	(0.795,1.33]	0.34854359458982
GTEX-13D11	0.6554	0.173525577165619	[0,0.795]	0.173525577165619
GTEX-13FH7	0.4931	0.351126862578023	[0,0.795]	0.351126862578023
GTEX-13FHO	1.768	0.533546830182129	(1.33,5.74]	0.533546830182129
GTEX-13FTW	0.2366	0.199288559530568	[0,0.795]	0.199288559530568
GTEX-13G51	0.6878	0.283101419015368	[0,0.795]	0.283101419015368
GTEX-13N2G	2.773	0.366415662944832	(1.33,5.74]	0.366415662944832
GTEX-13O1R	0	0.351305444385423	[0,0.795]	0.351305444385423
GTEX-13O61	0.1314	0.324599510746132	[0,0.795]	0.324599510746132
GTEX-13OVI	1.253	0.201757454129383	(0.795,1.33]	0.201757454129383
GTEX-13OVJ	0.8484	0.545562156114362	(0.795,1.33]	0.545562156114362
GTEX-13OVK	0.06246	0.418438674972688	[0,0.795]	0.418438674972688
GTEX-13OW5	1.589	0.272934255818589	(1.33,5.74]	0.272934255818589
GTEX-13OW6	0.6989	0.983004355345996	[0,0.795]	0.983004355345996
GTEX-13OW8	2.462	0.199025836415376	(1.33,5.74]	0.199025836415376
GTEX-13PL7	1.775	0.216952728808852	(1.33,5.74]	0.216952728808852
GTEX-13PVQ	1.193	0.22372290351492	(0.795,1.33]	0.22372290351492
GTEX-13PVR	0.2268	0.301707573218032	[0,0.795]	0.301707573218032
GTEX-13QBU	0.8884	0.161452101334392	(0.795,1.33]	0.161452101334392
GTEX-13RTJ	1.194	0.420799670885207	(0.795,1.33]	0.420799670885207
GTEX-13SLW	1.028	0.483925974106075	(0.795,1.33]	0.483925974106075
GTEX-13U4I	2.434	0.368125222224929	(1.33,5.74]	0.368125222224929
GTEX-13VXT	2.094	0.574934199120789	(1.33,5.74]	0.574934199120789
GTEX-13X6I	5.74	1.20224418846728	(1.33,5.74]	1.20224418846728
GTEX-13X6J	1.744	0.183498491040901	(1.33,5.74]	0.183498491040901
