tissue	cell	i	eQTL_obs_ct	N	mean.p	p	p2	Analysis	eqtl.enriched	sig
Adipose - Subcutaneous	CD4_Tcells	1	1	34	0.132352941176471	0.991989394143072	0.0788269390649557	Adipose - Subcutaneous: CD4_Tcells	0	0
Adipose - Subcutaneous	MacrophageSum	2	7	137	0.117080291970803	0.997444444192898	0.0157264737523322	Adipose - Subcutaneous: MacrophageSum	0	0
Adipose - Subcutaneous	MastSum	3	1	36	0.243055555555556	0.999955710149897	0.000774885318808541	Adipose - Subcutaneous: MastSum	0	0
Adipose - Subcutaneous	Myeloid_Sum	4	3	67	0.0864179104477612	0.936409108336605	0.28080158577785	Adipose - Subcutaneous: Myeloid_Sum	0	0
Adipose - Subcutaneous	Monocytes	5	1	50	0.0288	0.768029004341612	1	Adipose - Subcutaneous: Monocytes	0	0
Adipose - Subcutaneous	Lymph_Sum	6	3	110	0.039	0.807100826449381	0.803051355767724	Adipose - Subcutaneous: Lymph_Sum	0	0
Adipose - Visceral (Omentum)	T cells CD8	7	4	41	0.0346341463414634	0.0527811011482961	0.052781101148296	Adipose - Visceral (Omentum): T cells CD8	1	0
Adipose - Visceral (Omentum)	CD4_Tcells	8	2	39	0.091025641025641	0.881369322765218	0.578019539085697	Adipose - Visceral (Omentum): CD4_Tcells	0	0
Adipose - Visceral (Omentum)	MacrophageSum	9	4	45	0.0286666666666667	0.039654035208206	0.0396540352082062	Adipose - Visceral (Omentum): MacrophageSum	1	0
Adipose - Visceral (Omentum)	Bcellsum	10	10	89	0.0523595505617978	0.0180550610617778	0.0263972402280539	Adipose - Visceral (Omentum): Bcellsum	1	0
Adipose - Visceral (Omentum)	MastSum	11	1	23	0.0865217391304348	0.87524470803156	0.716838929114855	Adipose - Visceral (Omentum): MastSum	0	0
Adipose - Visceral (Omentum)	Myeloid_Sum	12	0	6	0.01	1	1	Adipose - Visceral (Omentum): Myeloid_Sum	0	0
Adipose - Visceral (Omentum)	Monocytes	13	1	53	0.0407547169811321	0.889776897561922	0.725831051133651	Adipose - Visceral (Omentum): Monocytes	0	0
Adipose - Visceral (Omentum)	Lymph_Sum	14	3	106	0.0355660377358491	0.731464455405358	1	Adipose - Visceral (Omentum): Lymph_Sum	0	0
Adrenal Gland	T cells CD8	15	3	53	0.019811320754717	0.0878746144738107	0.0878746144738109	Adrenal Gland: T cells CD8	1	0
Adrenal Gland	MacrophageSum	16	3	39	0.0243589743589744	0.0690572635915475	0.0690572635915478	Adrenal Gland: MacrophageSum	1	0
